product_id,name,category,subcategory,brand,price,rating,num_reviews,in_stock,tags
B0030CHI14,Product 0CHI14,Networking,Peripherals,HP,1123.36,4.2,5,True,"networking,peripherals,hp"
B00CA66YGQ,Product A66YGQ,Audio,Peripherals,JBL,1384.4,3.75,8,True,"audio,peripherals,jbl"
B000V7AF8E,Product V7AF8E,Mobile,Components,Canon,217.61,4.5,38,True,"mobile,components,canon"
B001AHTEEU,Product AHTEEU,Networking,Accessories,Asus,313.43,5.0,1,True,"networking,accessories,asus"
B003WTNGW0,Product WTNGW0,Camera,Gadgets,Canon,442.18,2.3333333333333335,3,True,"camera,gadgets,canon"
B006TI42QU,Product TI42QU,Wearables,Devices,HP,1254.03,1.0,1,True,"wearables,devices,hp"
B003WV5DJC,Product WV5DJC,Mobile,Accessories,Dell,597.71,4.757575757575758,33,True,"mobile,accessories,dell"
B0002Z2416,Product 2Z2416,Mobile,Devices,Canon,35.37,5.0,3,True,"mobile,devices,canon"
B0007UQ6LK,Product 7UQ6LK,Networking,Components,Dell,448.94,5.0,2,True,"networking,components,dell"
B00ALK3HF4,Product LK3HF4,Computers,Gadgets,HP,167.89,4.866666666666666,15,True,"computers,gadgets,hp"
B0017U0WM8,Product 7U0WM8,Camera,Accessories,JBL,1140.86,3.5,20,False,"camera,accessories,jbl"
B0045IIZKU,Product 5IIZKU,Networking,Components,Anker,481.51,3.6470588235294117,17,True,"networking,components,anker"
B009RPDP2Y,Product RPDP2Y,Camera,Accessories,Logitech,1006.67,4.5,6,True,"camera,accessories,logitech"
B001V9LPT4,Product V9LPT4,Camera,Peripherals,Bose,556.19,4.0,75,True,"camera,peripherals,bose"
B002FECHQ4,Product FECHQ4,Wearables,Gadgets,Canon,1406.52,4.714285714285714,7,True,"wearables,gadgets,canon"
B0000AJI8M,Product 0AJI8M,Mobile,Gadgets,LG,390.89,3.0,1,True,"mobile,gadgets,lg"
B002I3OZB2,Product I3OZB2,Audio,Components,Asus,869.17,3.7777777777777777,18,True,"audio,components,asus"
B001CBUSIU,Product CBUSIU,Wearables,Components,Bose,860.58,5.0,1,True,"wearables,components,bose"
B000UD3NTC,Product UD3NTC,Wearables,Components,Anker,897.26,4.545454545454546,11,True,"wearables,components,anker"
B000UHDRAS,Product UHDRAS,Camera,Gadgets,Bose,335.22,1.0,1,True,"camera,gadgets,bose"
B0001OQTLY,Product 1OQTLY,Gaming,Peripherals,Asus,493.57,5.0,3,True,"gaming,peripherals,asus"
B00DGZ42SM,Product GZ42SM,Mobile,Gadgets,Bose,322.85,4.0,1,True,"mobile,gadgets,bose"
B001MS79YE,Product MS79YE,Computers,Components,JBL,44.7,4.0,1,True,"computers,components,jbl"
B009OZUPUC,Product OZUPUC,Wearables,Devices,LG,966.07,4.4,20,True,"wearables,devices,lg"
B009YPYORM,Product YPYORM,Audio,Peripherals,Asus,1493.88,4.6,5,True,"audio,peripherals,asus"
B0033PROP8,Product 3PROP8,Gaming,Gadgets,Asus,1045.17,4.4,5,True,"gaming,gadgets,asus"
B002HZW6WQ,Product HZW6WQ,Gaming,Devices,Apple,1196.42,4.583333333333333,48,True,"gaming,devices,apple"
B000FSAADE,Product FSAADE,Computers,Peripherals,Asus,76.94,3.0,1,True,"computers,peripherals,asus"
B000EOMXM0,Product EOMXM0,Wearables,Gadgets,Dell,1098.46,4.823529411764706,17,True,"wearables,gadgets,dell"
B00408K36Y,Product 08K36Y,Audio,Components,Asus,806.93,4.454545454545454,11,True,"audio,components,asus"
B00FU829ZQ,Product U829ZQ,Mobile,Gadgets,Logitech,426.38,5.0,1,True,"mobile,gadgets,logitech"
B002MYQTEI,Product MYQTEI,Electronics,Peripherals,Logitech,903.48,3.948717948717949,39,True,"electronics,peripherals,logitech"
B000AQOD2U,Product AQOD2U,Audio,Components,Canon,1068.62,4.0,2,True,"audio,components,canon"
B001FYBT4G,Product FYBT4G,Computers,Accessories,Dell,1407.76,4.666666666666667,3,False,"computers,accessories,dell"
B003AOTEJ6,Product AOTEJ6,Gaming,Devices,HP,307.89,4.5,4,True,"gaming,devices,hp"
B008LR26DI,Product LR26DI,Mobile,Components,Sony,1036.06,5.0,2,True,"mobile,components,sony"
B000VIHFZ4,Product VIHFZ4,Audio,Components,Samsung,862.24,4.0625,16,True,"audio,components,samsung"
B0087NBBD2,Product 7NBBD2,Electronics,Peripherals,Asus,891.97,5.0,2,True,"electronics,peripherals,asus"
B002K3Y2MM,Product K3Y2MM,Electronics,Peripherals,Canon,154.51,3.6666666666666665,6,True,"electronics,peripherals,canon"
B002Y32Z2C,Product Y32Z2C,Camera,Devices,JBL,665.83,4.0,7,True,"camera,devices,jbl"
B000UC7P0G,Product UC7P0G,Camera,Peripherals,LG,942.73,5.0,2,True,"camera,peripherals,lg"
B004CZINEY,Product CZINEY,Networking,Components,JBL,316.01,3.0,2,True,"networking,components,jbl"
B004N625B4,Product N625B4,Computers,Devices,Asus,359.3,3.75,12,True,"computers,devices,asus"
B000HCRVSK,Product HCRVSK,Wearables,Devices,Bose,904.09,4.5,4,True,"wearables,devices,bose"
B001P8XVK2,Product P8XVK2,Audio,Gadgets,Anker,1045.48,5.0,5,True,"audio,gadgets,anker"
B003JME5OI,Product JME5OI,Audio,Components,Bose,311.37,4.0,1,True,"audio,components,bose"
B006T9B6R2,Product T9B6R2,Wearables,Components,Canon,891.1,4.5,30,True,"wearables,components,canon"
B006VCP72W,Product VCP72W,Networking,Peripherals,Canon,651.61,4.3076923076923075,13,True,"networking,peripherals,canon"
B0042AM7JQ,Product 2AM7JQ,Gaming,Components,Logitech,256.6,4.875,8,True,"gaming,components,logitech"
B004XZHY34,Product XZHY34,Gaming,Peripherals,Asus,161.62,4.611111111111111,18,True,"gaming,peripherals,asus"
B006NNWZSI,Product NNWZSI,Networking,Components,LG,1169.57,4.25,8,True,"networking,components,lg"
B002C97096,Product C97096,Gaming,Gadgets,Anker,458.65,4.0,2,True,"gaming,gadgets,anker"
B002I3OZ6W,Product I3OZ6W,Camera,Components,HP,209.26,4.25,4,True,"camera,components,hp"
B001O92JFK,Product O92JFK,Audio,Gadgets,Samsung,965.27,4.0588235294117645,17,False,"audio,gadgets,samsung"
B000ELOQS2,Product ELOQS2,Networking,Components,Dell,522.97,5.0,3,True,"networking,components,dell"
B0093IZOV0,Product 3IZOV0,Audio,Components,Asus,66.84,3.6666666666666665,6,True,"audio,components,asus"
B003WLY24O,Product WLY24O,Wearables,Accessories,Asus,1416.62,4.05,20,True,"wearables,accessories,asus"
B00B1JC764,Product 1JC764,Electronics,Components,Canon,1012.1,4.222222222222222,9,True,"electronics,components,canon"
B003Y6UNI6,Product Y6UNI6,Camera,Gadgets,Apple,294.9,3.7333333333333334,15,True,"camera,gadgets,apple"
